㒵	かお
㶚	は,ば
㹠	とん
一	いち,いつ,ひと
丁	ちょう,てい,ちん,とう,ち,ひのと
丂	こう,さまた
七	しち,なな,なの
丄	じょう,しょう,うえ,うわ,かみ,あ
丅	か,げ,した,しも,もと,さ
万	まん,ばん,よろず
丈	じょう,たけ,だけ
三	さん,ぞう,み,みっ
上	じょう,しょう,しゃん,うえ,うわ,かみ
下	か,げ,した,しも,もと,さ
丌	き,ご,そ,だい
不	ふ,ぶ
与	よ,あた,あずか,くみ,ともに
丏	べん,めん,みえぬ
丐	かい,こ
丑	ちゅう,うし
丒	ちゅう,うし
且	しょ,そ,しょう,か
丕	ひ,おお
世	せい,せ,そう,よ
丗	せい,せ,そう,よ,さんじゅう
丘	きゅう,おか
丙	へい,ひのえ
丞	じょう,しょう,すく,たす
丟	ちゅう,ちゅ,さる,なげう
両	りょう,てる,ふたつ
丣	ゆう,とり
两	りょう,て,ふたつ
並	へい,ほう,な,なみ,なら
丨	こん,し,じょ,にょ,すす,しりぞ
丩	きゅう,まつわる
个	か,こ
丫	あ,や,ふたまた,あげまき
中	ちゅう,なか,うち,あた
丮	けき,きゃく,も,と
丯	かい,さんらん
丰	ほう,ふ,ふう,みめよ,しげ
丱	かん,けん
串	かん,けん,せん,くし,つらぬ
丵	さく,くさのむらがり
丶	ちゅ
丸	がん,まる
丹	たん,に
主	しゅ,す,しゅう,ぬし,おも,あるじ
丼	とん,たん,しょう,せい,どんぶり
丿	へつ,えい,よう
乀	ふつ,ぶち,ま
乁	い,なが
乂	がい,かい,げ,おさ,か
乃	ない,だい,の,あい,すなわ,なんじ
乄	し,して
久	きゅう,く,ひさ
乇	たく,ちゃく
么	えう
之	し,の,これ,ゆく,この
乍	さ,さく,なが,たちま
乎	こ,お,か,ああ,かな,や
乏	ぼう,とぼ,とも
乑	ぎん,ごん,しゅう,ならびたつ
乕	こ,とら
乖	かい,そむ,もとる
乗	じょう,しょう,の
乘	じょう,の
乙	おつ,いつ,おと,きのと
乚	いん,おん,かく,かか,よ
乜	ば,め,やぶにらみ
九	きゅう,く,ここの
乞	こつ,きつ,き,きけ,こち,こ
也	や,え,なり,か,また
